position,balance,price
-4,913.7270999999996,228.39419999999998
-5,1142.1381999999996,228.4111
-6,1370.5781999999997,228.44
-7,1599.0181999999998,228.44
-8,1827.4653999999998,228.4472
-9,2055.9125999999997,228.4472
-10,2284.3670999999995,228.4545
-9,2056.0894999999996,228.2776
-8,1827.9158999999995,228.1736
-7,1599.7422999999994,228.1736
-8,1828.3524999999995,228.6102
-9,2056.9230999999995,228.57059999999998
-10,2285.4936999999995,228.57059999999998
-11,2514.1560999999997,228.6624
-10,2285.5858999999996,228.5702
-9,2057.0156999999995,228.5702
-8,1828.4445999999994,228.5711
-7,1599.9371999999994,228.50740000000002
-6,1371.4297999999994,228.50740000000002
-5,1142.9113999999995,228.5184
-4,914.4017999999995,228.5096
-3,685.9485999999995,228.4532
-2,457.49539999999945,228.4532
-1,229.06549999999945,228.4299
0,0.6355999999994424,228.4299
-1,229.14219999999943,228.5066
-2,457.78159999999946,228.6394
-3,686.4509999999995,228.6694
-4,915.1245999999994,228.6736
-5,1143.7835999999993,228.659
-4,915.2665999999992,228.517
-3,686.7495999999992,228.517
-2,458.3020999999992,228.4475
-1,229.8545999999992,228.4475
0,1.4196999999992101,228.4349
1,-227.0152000000008,228.4349
0,1.4612999999991985,228.4765
1,-226.8869000000008,228.3482
2,-455.2351000000008,228.3482
3,-683.4401000000008,228.205
4,-911.5841000000008,228.144
5,-1139.7180000000008,228.1339
6,-1367.8083000000008,228.0903
7,-1595.898600000001,228.0903
8,-1823.968100000001,228.0695
9,-2052.037600000001,228.0695
10,-2280.091700000001,228.0541
11,-2508.1458000000007,228.0541
12,-2736.203900000001,228.0581
11,-2508.113500000001,228.0904
10,-2279.925200000001,228.1883
11,-2508.055600000001,228.1304
12,-2736.191300000001,228.1357
11,-2508.001100000001,228.1902
10,-2279.810900000001,228.1902
9,-2051.6478000000006,228.1631
10,-2279.7742000000007,228.12640000000002
11,-2507.8699000000006,228.0957
12,-2735.9656000000004,228.0957
13,-2964.0184000000004,228.0528
14,-3192.0712000000003,228.0528
15,-3420.1019,228.0307
16,-3648.1094000000003,228.0075
15,-3420.0629000000004,228.0465
14,-3191.9645000000005,228.0984
13,-2963.8661000000006,228.0984
12,-2735.7084000000004,228.1577
11,-2507.5507000000002,228.1577
10,-2279.4072,228.1435
9,-2051.2882,228.119
10,-2279.3532999999998,228.0651
11,-2507.3504999999996,227.9972
12,-2735.2762999999995,227.9258
13,-2963.2407999999996,227.96450000000002
14,-3191.1664999999994,227.9257
15,-3419.092199999999,227.9257
16,-3646.9649999999992,227.8728
17,-3874.8377999999993,227.8728
18,-4102.7116,227.87380000000002
19,-4330.5854,227.87380000000002
20,-4558.3523,227.7669
21,-4786.0362,227.6839
22,-5013.7164999999995,227.68030000000002
23,-5241.3967999999995,227.68030000000002
24,-5469.037399999999,227.6406
25,-5696.626799999999,227.5894
26,-5924.124699999999,227.49790000000002
25,-5696.4135,227.7112
24,-5468.7023,227.7112
23,-5240.734,227.9683
22,-5012.7657,227.9683
21,-4784.6277,228.138
20,-4556.4897,228.138
19,-4328.3887,228.101
18,-4100.287700000001,228.101
17,-3871.743700000001,228.54399999999998
16,-3643.199700000001,228.54399999999998
15,-3413.816800000001,229.3829
14,-3184.433900000001,229.3829
13,-2954.851800000001,229.5821
12,-2725.089300000001,229.7625
11,-2495.405200000001,229.6841
10,-2265.721100000001,229.6841
9,-2035.9719000000011,229.7492
8,-1806.2227000000012,229.7492
9,-2035.8977000000011,229.675
10,-2265.3945000000012,229.4968
11,-2494.8584000000014,229.4639
12,-2724.0413000000017,229.18290000000002
13,-2952.9750000000017,228.93370000000002
14,-3181.7935000000016,228.8185
15,-3410.482900000002,228.6894
